model,dataset,condition,layer,head,entropy_clean,entropy_noisy,entropy_delta,query_mass_clean,query_mass_noisy,query_mass_delta
llama,squad,noise_1_character,3,27,0.6974514707922935,0.6915822058916092,-0.005869264900684357,0.012370765209197998,0.012423521280288697,5.2756071090698244e-05
llama,squad,noise_1_character,3,28,1.3767134994268417,1.3909016013145448,0.014188101887702942,0.03234477043151855,0.034279489517211915,0.0019347190856933594
llama,squad,noise_1_character,3,29,1.5783125162124634,1.576038843393326,-0.0022736728191375733,0.10207395553588867,0.09914588928222656,-0.0029280662536621095
llama,squad,noise_1_character,3,30,1.362895315885544,1.3584636896848679,-0.004431626200675965,0.0933223009109497,0.07157444953918457,-0.021747851371765138
llama,squad,noise_1_character,3,31,1.299906525015831,1.3047359526157378,0.004829427599906922,0.02812676429748535,0.030116844177246093,0.001990079879760742
llama,squad,noise_1_character,4,0,0.6582661688327789,0.6679976239800454,0.009731455147266388,0.027205955982208253,0.0269525408744812,-0.0002534151077270508
llama,squad,noise_1_character,4,1,1.516673707962036,1.5153149247169495,-0.0013587832450866698,0.0460909366607666,0.0883181095123291,0.0422271728515625
llama,squad,noise_1_character,4,2,0.8941486030817032,0.9029689282178879,0.008820325136184692,0.10010566711425781,0.14290027618408202,0.04279460906982422
llama,squad,noise_1_character,4,3,0.5546599522233009,0.5741664126515389,0.019506460428237914,0.10193347930908203,0.11853508949279785,0.01660161018371582
llama,squad,noise_1_character,4,4,0.854695400595665,0.8651707410812378,0.010475340485572814,0.06455464363098144,0.056673264503479,-0.007881379127502442
llama,squad,noise_1_character,4,5,1.4984481751918792,1.4822255492210388,-0.016222625970840454,0.04636754393577576,0.04532802104949951,-0.001039522886276245
llama,squad,noise_1_character,4,6,1.6199385702610016,1.654568350315094,0.03462978005409241,0.06975998878479003,0.10067901611328126,0.03091902732849121
llama,squad,noise_1_character,4,7,1.0247770845890045,1.0317096173763276,0.006932532787322998,0.025211536884307863,0.026757967472076417,0.0015464305877685546
llama,squad,noise_1_character,4,8,1.7721047222614288,1.8016625106334687,0.029557788372039796,0.16510143280029296,0.1918490409851074,0.026747608184814455
llama,squad,noise_1_character,4,9,1.2226522266864777,1.253359842300415,0.030707615613937377,0.10994253158569336,0.1315155029296875,0.021572971343994142
llama,squad,noise_1_character,4,10,1.6303595185279847,1.6344093024730681,0.0040497839450836185,0.12777261734008788,0.14598579406738282,0.018213176727294923
llama,squad,noise_1_character,4,11,1.1216240763664245,1.106397619843483,-0.015226456522941589,0.036734724044799806,0.03710894584655762,0.0003742218017578125
llama,squad,noise_1_character,4,12,0.6699736922979355,0.672488734126091,0.0025150418281555177,0.017332629300653934,0.014354442059993745,-0.0029781872406601908
llama,squad,noise_1_character,4,13,1.1344172000885009,1.1207217693328857,-0.013695430755615235,0.0436518669128418,0.04385843276977539,0.00020656585693359374
llama,squad,noise_1_character,4,14,0.4878636747598648,0.5002105712890625,0.012346896529197692,0.007972805947065353,0.008917177096009254,0.0009443711489439011
llama,squad,noise_1_character,4,15,1.7435204088687897,1.7421959340572357,-0.001324474811553955,0.33324241638183594,0.35010528564453125,0.016862869262695312
llama,squad,noise_1_character,4,16,0.7668944716453552,0.7860739380121231,0.019179466366767883,0.016788538079708815,0.016391606628894807,-0.00039693145081400873
llama,squad,noise_1_character,4,17,1.0322048783302307,1.0451011449098586,0.012896266579627991,0.0268471360206604,0.023333525657653807,-0.0035136103630065917
llama,squad,noise_1_character,4,18,0.7728204876184464,0.7685475081205368,-0.004272979497909546,0.0277099609375,0.0277508020401001,4.084110260009766e-05
llama,squad,noise_1_character,4,19,1.0546046525239945,1.084092488884926,0.029487836360931396,0.041779518127441406,0.05252242684364319,0.010742908716201783
llama,squad,noise_1_character,4,20,1.0198823630809783,1.0174735367298127,-0.0024088263511657716,0.06448731422424317,0.07756376266479492,0.013076448440551757
llama,squad,noise_1_character,4,21,0.4244859337806702,0.45871725082397463,0.03423131704330444,0.03795063495635986,0.063334059715271,0.025383424758911134
llama,squad,noise_1_character,4,22,1.5068166643381118,1.509828269481659,0.003011605143547058,0.0798269271850586,0.10333824157714844,0.023511314392089845
llama,squad,noise_1_character,4,23,1.2086101442575454,1.2260289907455444,0.017418846487998962,0.09696331024169921,0.109409761428833,0.012446451187133788
llama,squad,noise_1_character,4,24,0.8780417948961258,0.8896060585975647,0.011564263701438903,0.03645236492156982,0.03835828304290771,0.0019059181213378906
llama,squad,noise_1_character,4,25,0.9079849749803544,0.9238193303346633,0.015834355354309083,0.1495380401611328,0.14621667861938475,-0.0033213615417480467
llama,squad,noise_1_character,4,26,1.144665190577507,1.1372734129428863,-0.007391777634620666,0.04585533142089844,0.04378557205200195,-0.0020697593688964845
llama,squad,noise_1_character,4,27,1.3036440163850784,1.314406380057335,0.01076236367225647,0.07040085792541503,0.07418608665466309,0.003785228729248047
llama,squad,noise_1_character,4,28,0.5665554314851761,0.6221361428499221,0.05558071136474609,0.1155012845993042,0.1263371229171753,0.010835838317871094
llama,squad,noise_1_character,4,29,0.3237698167562485,0.37928140014410017,0.05551158338785171,0.06657345294952392,0.07030701637268066,0.0037335634231567385
